文献番号,出願番号,出願日,公知日,発明の名称,出願人/権利者,FI,公開番号,公告番号,登録番号,審判番号,その他,ステージ,イベント詳細,文献URL
特開2023-028695,特願2021-134557,2021/08/20,2023/03/03,接触回避システム,"パナソニックアドバンストテクノロジー株式会社,大成建設株式会社","E02F9/24@B,E02F9/20@N",特開2023-028695,,,,,審査中,拒絶理由通知,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-028695/11/ja
特開2023-028609,特願2021-134431,2021/08/19,2023/03/03,自動運転システム、自動運転方法およびプログラム,トヨタ自動車株式会社,"G08G1/00@X,G08G1/0968@A,G01C21/36,B60W30/06,B60W50/14,B60W40/02",特開2023-028609,,特許7548159,,,特許 有効,登録公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-028609/11/ja
特開2023-028560,特願2021-134349,2021/08/19,2023/03/03,自動車,トヨタ自動車株式会社,"B60W30/00,B60W60/00,G08G1/09@F,G08G1/16@E",特開2023-028560,,特許7639611,,,特許 有効,登録公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-028560/11/ja
特開2023-027940,特願2021-133315,2021/08/18,2023/03/03,冷却システム,トヨタ自動車株式会社,"H01M10/633,H01M10/6568,H01M10/6556,H01M10/651,H01M10/615,H01M10/667",特開2023-027940,,特許7700570,,,特許 有効,登録公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-027940/11/ja
特開2023-027778,特願2022-130061,2022/08/17,2023/03/02,障害物検知方法、装置、電子機器及び自動運転車両,ベイジン　バイドゥ　ネットコム　サイエンス　テクノロジー　カンパニー　リミテッド,"G06T7/00,300@F,G06T7/00,650@B,G06V20/58,G06V10/82",特開2023-027778,,,,,（出願の）却下・拒絶,出願の拒絶・却下,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-027778/11/ja
特開2023-027777,特願2022-130033,2022/08/17,2023/03/02,障害物移動軌跡の予測方法、装置及び自動運転車両,ベイジン　バイドゥ　ネットコム　サイエンス　テクノロジー　カンパニー　リミテッド,"B60W30/08,B60W60/00,B60W30/10,G08G1/16@A",特開2023-027777,,,,,（出願の）却下・拒絶,出願の拒絶・却下,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-027777/11/ja
特開2023-027669,特願2021-132928,2021/08/17,2023/03/02,車両用制御装置及び車両用制御方法,株式会社デンソー,"G08G1/16@A,G08G1/01@E,G08G1/00@J,B60W40/04,B60W60/00,B60W50/14",特開2023-027669,,,,,（出願の）却下・拒絶,出願のみなし取下げ,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-027669/11/ja
特開2023-027335,特願2022-204036,2022/12/21,2023/03/01,自動運転車に用いられる運行ログ生成方法および装置,阿波▲羅▼智▲聯▼（北京）科技有限公司,G08G1/00@D,特開2023-027335,,,,,（出願の）却下・拒絶,出願の拒絶・却下,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-027335/11/ja
特許7229314,特願2021-163370,2021/10/04,2023/02/27,運転支援装置、運転支援システム、運転支援プログラム、および、運転支援方法,三菱電機株式会社,"G08G1/16@A,B60W30/08,B60W40/02,B60W40/105,B60W60/00",特開2023-054492,,特許7229314,,,特許 有効,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7229314/15/ja
特許7228303,特願2022-128964,2022/08/12,2023/02/24,操作支援装置、遠隔操作システムおよび自動運転システム,ＴＯＴＡＬＭＡＳＴＥＲＳ株式会社,"E02F9/20@B,E02F9/20@N,E02F9/20@H,G05G1/02@Z,G05G9/047,G05G25/00@Z,B25J11/00@A",特開2024-025480,,特許7228303,,,特許 有効,年金の支払い,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7228303/15/ja
特開2023-026559,特願2022-212307,2022/12/28,2023/02/24,運転支援装置、運転支援方法、プログラム、車両,日本電気株式会社,G08G1/16@F,特開2023-026559,,,拒絶2025-004199,,査定不服,手続補正,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-026559/11/ja
特開2023-026501,特願2022-202160,2022/12/19,2023/02/24,三次元情報処理方法及び三次元情報処理装置,パナソニック　インテレクチュアル　プロパティ　コーポレーション　オブ　アメリカ,"G01C21/28,H04N19/597,G08G1/09@H,G08G1/16@A,G01C21/30",特開2023-026501,,特許7307259,,,特許 有効,登録公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-026501/11/ja
特開2023-026499,特願2022-201959,2022/12/19,2023/02/24,自動車及び通信システム、並びに自動車用プログラム,みこらった株式会社,"G08G1/16@A,G08G1/09@H,G01C21/26@P,G16Y10/40,G16Y20/20,G16Y40/60,G08G1/005",特開2023-026499,,特許7391427,,,特許 有効,登録公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-026499/11/ja
特開2023-026494,特願2022-201220,2022/12/16,2023/02/24,作業車両,井関農機株式会社,"A01B69/00,303@Z,A01B69/00,303@K",特開2023-026494,,特許7476949,,,特許 有効,登録公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-026494/11/ja
特開2023-026370,特願2022-126311,2022/08/08,2023/02/24,マシニングセンタの自動運転システム,キタムラ機械株式会社,"B23Q15/00,301@C,G05B19/4097@C,G05B19/4155@V,G05B19/4069,G05B19/418@Z,G05B19/4093@E",特開2023-026370,,特許7296672,,,特許 有効,登録公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-026370/11/ja
