文献番号,出願番号,出願日,公知日,発明の名称,出願人/権利者,FI,公開番号,公告番号,登録番号,審判番号,その他,ステージ,イベント詳細,文献URL
特開2025-116688,特願2024-011253,2024/01/29,2025/08/08,情報処理装置、情報処理方法、及び情報処理プログラム,トヨタ自動車株式会社,"B60W50/12,B60W50/14,B60K35/28",特開2025-116688,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-116688/11/ja
特開2025-116665,特願2024-011210,2024/01/29,2025/08/08,車両用表示制御方法及び車両用表示制御装置,日産自動車株式会社,G08G1/0969,特開2025-116665,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-116665/11/ja
特開2025-116487,特願2024-010936,2024/01/29,2025/08/08,車両の手動運転支援装置,株式会社ＳＵＢＡＲＵ,"G08G1/16@C,G06T1/00,330@A,B60R99/00,351,B60R99/00,322",特開2025-116487,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-116487/11/ja
特開2025-116144,特願2025-090027,2025/05/29,2025/08/07,制御装置、ステアリングホイール、車両、制御方法、及び制御プログラム,トヨタ自動車株式会社,"B62D1/04,B60W50/14",特開2025-116144,,,,,審査中,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-116144/11/ja
特開2025-115833,特願2024-010513,2024/01/26,2025/08/07,無線路側機、通信方法、通信システム、プログラム、及び車載通信機,京セラ株式会社,"G08G1/09@F,G08G1/16@D",特開2025-115833,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-115833/11/ja
特開2025-115750,特願2024-010370,2024/01/26,2025/08/07,車両管理方法及び車両管理装置,日産自動車株式会社,"B60W50/02,B60W50/08,B60W60/00",特開2025-115750,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-115750/11/ja
特開2025-114770,特願2025-079668,2025/05/12,2025/08/05,施設内におけるシステムおよび電動モビリティ,ＷＨＩＬＬ株式会社,"A61G5/04,707,G06Q50/10",特開2025-114770,,,,,審査中,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-114770/11/ja
特開2025-113922,特願2024-008328,2024/01/23,2025/08/04,四輪駆動車両の前後輪駆動力配分制御装置,トヨタ自動車株式会社,"B60L15/20@S,B60W60/00,B60W30/18",特開2025-113922,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-113922/11/ja
特開2025-112631,特願2024-006974,2024/01/19,2025/08/01,プラント運転管理システム、プラント運転管理方法、及びプラント運転管理プログラム,"株式会社東芝,東芝エネルギーシステムズ株式会社","G06Q50/06,G05B23/02,301@Q",特開2025-112631,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-112631/11/ja
特開2025-112307,特願2025-007865,2025/01/20,2025/07/31,車両警告システム及び警告方法,大▲衆▼酷翼（北京）科技有限公司,"G08G1/16@C,G08G1/00@A",特開2025-112307,,,,,審査中,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-112307/11/ja
特許7715442,特願2025-061517,2025/04/02,2025/07/30,情報処理システム、情報処理方法及びプログラム,ＲＹＤＥ株式会社,"G06Q50/14,G06Q50/40,G06Q30/0207,328",,,特許7715442,,,特許 有効,登録公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7715442/15/ja
特開2025-111214,特願2024-005504,2024/01/17,2025/07/30,運行管理装置及びＭａａＳ提供方法,トヨタ自動車株式会社,"G08G1/123@A,G16Y10/40,G16Y20/20,G16Y40/10",特開2025-111214,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-111214/11/ja
特開2025-111212,特願2024-005502,2024/01/17,2025/07/30,運行管理装置及びＭａａＳ提供方法,トヨタ自動車株式会社,"G08G1/123@A,G16Y10/40,G16Y20/20,G16Y40/20",特開2025-111212,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-111212/11/ja
特開2025-111025,特願2024-005159,2024/01/17,2025/07/30,車両の制御装置,トヨタ自動車株式会社,"F02D29/00@C,F01N3/023@A,F02D17/02@R,F02D17/02@S,B60W60/00,B60W10/00,104,B60W10/06,B60W10/10,B60W10/184,F16H61/14",特開2025-111025,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-111025/11/ja
特開2025-110812,特願2024-004870,2024/01/16,2025/07/29,経路計画装置、運転支援システム、経路計画方法及び経路計画プログラム,川崎重工業株式会社,"G05D1/622,G05D1/633,G05D1/693,G05D1/24,G05D1/242,G05D1/245,G05D1/639,G05D1/648,G05D107:00,G05D107:20,G05D111:00,G05D111:50,G05D111:63",特開2025-110812,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-110812/11/ja
特開2025-110791,特願2024-004833,2024/01/16,2025/07/29,電源制御装置、電源制御方法、および電源制御プログラム,"トヨタ自動車株式会社,株式会社デンソーテン","H02J7/00@P,H02J7/02@H,B60L3/00@S,B60L53/10",特開2025-110791,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-110791/11/ja
特開2025-110600,特願2024-004528,2024/01/16,2025/07/29,小型電動車両,スズキ株式会社,"B62K17/00,A61G5/04,707,A61G5/12,702,A61G5/10,B62K5/003",特開2025-110600,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-110600/11/ja
特開2025-110599,特願2024-004527,2024/01/16,2025/07/29,小型電動車両の制御装置,スズキ株式会社,"G05D1/228,B62K5/007,B62J50/22,B62B3/00@D,B62B3/00@B,B60L15/20@J,A61G5/04,707,G05D1/43,G05D1/2285,G05D1/229,G05D1/24,G05D1/245,G05D1/60,G05D105:00,G05D107:00,G05D107:20,G05D109:00,G05D109:10,G05D111:00,G05D111:50",特開2025-110599,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-110599/11/ja
特開2025-110598,特願2024-004525,2024/01/16,2025/07/29,小型電動車両および車両用荷物掛け具,スズキ株式会社,"B62K17/00,A61G5/04,A61G5/10,B62K5/003,B62J7/08@A,B62J7/00@D",特開2025-110598,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-110598/11/ja
特開2025-110279,特願2024-004120,2024/01/15,2025/07/28,施工支援システム、施工支援方法及び施工支援プログラム,株式会社大林組,"E02F9/22@Q,E02F9/26@Z",特開2025-110279,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-110279/11/ja
特開2025-109863,特願2025-081226,2025/05/14,2025/07/25,提示制御装置、及び提示制御プログラム,株式会社デンソー,G08G1/16@D,特開2025-109863,,,,,審査中,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-109863/11/ja
特開2025-109793,特願2025-078187,2025/05/08,2025/07/25,車両,トヨタ自動車株式会社,"B60W30/00,B60W60/00,B60T7/12@Z",特開2025-109793,,,,,審査中,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-109793/11/ja
特開2025-108975,特願2024-002566,2024/01/11,2025/07/24,ハイブリッド車両の制御装置,トヨタ自動車株式会社,"B60W20/40,B60K6/445,B60W10/06,900,B60L50/16,B60L50/61",特開2025-108975,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-108975/11/ja
特許7711785,特願2024-039311,2024/03/13,2025/07/23,目標車速パターンデータ生成方法及び試験方法,株式会社明電舎,G01M17/007@B,,,特許7711785,,,特許 有効,登録公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7711785/15/ja
特開2025-108456,特願2025-051994,2025/03/26,2025/07/23,車両,ＣＡＳＥ特許株式会社,"B60W50/08,B60W60/00,G08G1/16@C",特開2025-108456,,,,,審査中,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-108456/11/ja
特開2025-107950,特願2024-013666,2024/01/09,2025/07/22,多数決による遠隔操作の運行指示を与えるシステム、および、制御方法,久保　善一,"B60W50/12,B60W60/00,B60W50/06,G08G1/09@V,G08G1/00@D",特開2025-107950,,,,,審査中,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-107950/11/ja
特開2025-107718,特願2024-001081,2024/01/09,2025/07/22,自動列車運転装置,日本信号株式会社,B60L15/40@C,特開2025-107718,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-107718/11/ja
特開2025-107242,特願2025-073452,2025/04/25,2025/07/17,作業車両,井関農機株式会社,"A01B69/00,303@M",特開2025-107242,,,,,審査中,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-107242/11/ja
特許7708402,特願2024-122515,2024/07/29,2025/07/15,コンクリート構造物の構築方法及びケーブルクレーンシステム,"株式会社アルファナビゲーション,西松建設株式会社","B66C21/00@F,E02B7/00@C,B66C21/00@B",,,特許7708402,,,特許 有効,登録公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7708402/15/ja
特開2025-106597,特願2025-070347,2025/04/22,2025/07/15,車両と幹線道路間のドライビングインテリジェンス割り当てのためのシステム及び方法,シーエーブイエイチ　エルエルシー,"G08G1/16@A,G08G1/09@F,B60W30/00,B60W40/00,B60W60/00",特開2025-106597,,,,,審査中,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-106597/11/ja
特開2025-106591,特願2025-069710,2025/04/21,2025/07/15,自律走行制御装置、自律走行制御方法、プログラム及び記憶媒体,パイオニア株式会社,"G01C21/34,G08G1/0968@B",特開2025-106591,,,,,審査中,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-106591/11/ja
特開2025-105659,特願2025-067938,2025/04/17,2025/07/10,農業機械の制御システムおよび農業管理システム,株式会社クボタ,"A01B69/00,303@M",特開2025-105659,,,,,審査中,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-105659/11/ja
特開2025-105064,特願2023-223354,2023/12/28,2025/07/10,路側装置、方法及びシステム,トヨタ自動車株式会社,"G08G1/16@A,G08G1/01@C",特開2025-105064,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-105064/11/ja
特開2025-105046,特願2023-223326,2023/12/28,2025/07/10,方法,トヨタ自動車株式会社,"G08G1/09@H,G08G1/16@A",特開2025-105046,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-105046/11/ja
特開2025-105007,特願2023-223253,2023/12/28,2025/07/10,路側装置及び通知方法,トヨタ自動車株式会社,"G08G1/16@A,G08G1/09@F",特開2025-105007,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-105007/11/ja
特開2025-104998,特願2023-223242,2023/12/28,2025/07/10,制御システム、路側装置、及び制御方法,トヨタ自動車株式会社,"G08G1/09@F,G08G1/16@A",特開2025-104998,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-104998/11/ja
特開2025-104994,特願2023-223237,2023/12/28,2025/07/10,可搬型給電車両,株式会社クボタ,"B60P3/00@U,B60L15/20@J,B60L50/60,B60L53/14,B60L53/35,B60L58/12,H02J7/00@P,H02J7/00,301@B,H02J7/00,303@C",特開2025-104994,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-104994/11/ja
特開2025-104983,特願2023-223218,2023/12/28,2025/07/10,遠隔監視装置,トヨタ自動車株式会社,"G08G1/00@D,G08G1/09@F",特開2025-104983,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-104983/11/ja
特開2025-104111,特願2023-221969,2023/12/27,2025/07/09,交通信号制御システム,日本信号株式会社,G08G1/08,特開2025-104111,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-104111/11/ja
特開2025-103179,特願2023-220359,2023/12/27,2025/07/09,運転支援装置、運転支援方法及びプログラム,"パナソニックＩＰマネジメント株式会社,パナソニックオートモーティブシステムズ株式会社","B60W30/00,B60W50/14,B60W40/04,B60W40/072,B60W40/08",特開2025-103179,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-103179/11/ja
特開2025-103139,特願2023-220282,2023/12/27,2025/07/09,情報提供システム,日本信号株式会社,"G08G1/0962,G08G1/09@F,B61L29/04@Z",特開2025-103139,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-103139/11/ja
特開2025-103087,特願2023-220175,2023/12/27,2025/07/09,移動体、移動体が備える搭載体を搬送する搬送車、移動体が備える搭載体の選択システム、及び、移動体が備える搭載体のレンタルサービス提供システム,株式会社クボタ,"B62D53/00@B,B62D63/00",特開2025-103087,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-103087/11/ja
特開2025-103086,特願2023-220174,2023/12/27,2025/07/09,移動体、移動体が備える搭載体を搬送する搬送車、移動体が備える搭載体の選択システム、及び、移動体が備える搭載体のレンタルサービス提供システム,株式会社クボタ,"B62D63/00,B60P3/20@Z,G05D1/43,G05D1/686,G05D1/667,G05D1/24,G05D1/242,G05D1/60,G05D1/622,G05D1/628,G05D1/633,G05D105:00,G05D105:05,G05D105:15,G05D105:20,G05D107:17,G05D107:90,G05D109:00,G05D111:00,G05D111:63",特開2025-103086,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-103086/11/ja
特開2025-103084,特願2023-220172,2023/12/27,2025/07/09,移動体、移動体が備える搭載体を搬送する搬送車、移動体が備える搭載体の選択システム、及び、移動体が備える搭載体のレンタルサービス提供システム,株式会社クボタ,"G06Q50/08,B62D63/00",特開2025-103084,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-103084/11/ja
特開2025-103075,特願2023-220159,2023/12/27,2025/07/09,移動体、移動体の保管庫、及び、移動体の保管システム,株式会社クボタ,"B60W30/06,B62D27/06,B60P3/00@K",特開2025-103075,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-103075/11/ja
特開2025-102703,特願2024-217711,2024/12/12,2025/07/08,地図データを修正する方法及び機械可読命令コード,トムトム　グローバル　コンテント　ベスローテン　フエンノートシャップ,"G01C21/32,G08G1/00@A,G08G1/0968",特開2025-102703,,,,,審査中,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-102703/11/ja
特開2025-102452,特願2023-219905,2023/12/26,2025/07/08,運転支援装置、システム、プログラム、及び運転支援方法,トヨタ自動車株式会社,"G08G1/09@V,G08G1/16@D",特開2025-102452,,,,,審査中,審査請求,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-102452/11/ja
特開2025-102348,特願2023-219714,2023/12/26,2025/07/08,車両制御方法,トヨタ自動車株式会社,"B60W30/00,B60W60/00",特開2025-102348,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-102348/11/ja
特開2025-101876,特願2023-218951,2023/12/26,2025/07/08,センシングシステム、作業車両、センシング方法、コンピュータプログラム,株式会社クボタ,"A01B69/00,303@J,A01B69/00,303@M,E02F3/30@Z",特開2025-101876,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-101876/11/ja
特開2025-101227,特願2023-217912,2023/12/25,2025/07/07,電動車,トヨタ自動車株式会社,"B60L15/20@J,B60L1/00@L,B60L9/18@J,B60L50/60,B60L58/12,B60W40/12,B60W50/04",特開2025-101227,,,,,審査中,審査請求,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-101227/11/ja
特開2025-101046,特願2023-217603,2023/12/25,2025/07/07,作業機械、画像処理装置、および画像から特定の対象物を検出する方法,株式会社クボタ,"A01B69/00,303@J,A01B69/00,303@G",特開2025-101046,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-101046/11/ja
特開2025-101045,特願2023-217602,2023/12/25,2025/07/07,作業機械、画像処理装置、および画像から特定の対象物を検出する方法,株式会社クボタ,"A01B69/00,303@J,A01B69/00,303@G",特開2025-101045,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-101045/11/ja
特開2025-100733,特願2025-066722,2025/04/15,2025/07/03,情報処理装置、情報処理システム、情報処理方法及びプログラム,パイオニア株式会社,G08G1/01@A,特開2025-100733,,,,,審査中,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-100733/11/ja
特開2025-099863,特願2023-216820,2023/12/22,2025/07/03,走行支援システム,株式会社クボタ,"A01B69/00,303@M",特開2025-099863,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-099863/11/ja
特開2025-099824,特願2023-216773,2023/12/22,2025/07/03,クレーン,住友重機械工業株式会社,"B66C13/22@M,B66C13/22@N",特開2025-099824,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-099824/11/ja
特開2025-099071,特願2023-215435,2023/12/21,2025/07/03,車両用表示装置,日本精機株式会社,"G02B27/01,B60K35/23,B60K35/40",特開2025-099071,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-099071/11/ja
特開2025-098079,特願2025-040268,2025/03/13,2025/07/01,車載電源装置、車両制御システム、車載電源制御方法、および車載電源制御プログラム,株式会社デンソーテン,"B60W50/035,B60W50/023,G08G1/16@C,B60L58/10,H02J7/00,302@C,H02J7/00,302@B,H02J7/00@S",特開2025-098079,,,,,審査中,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-098079/11/ja
特開2025-097334,特願2023-213463,2023/12/19,2025/07/01,作業車両,株式会社クボタ,"B60R7/04@C,B60R11/02@W,G08G1/16@C",特開2025-097334,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-097334/11/ja
特開2025-097226,特願2023-213398,2023/12/18,2025/06/30,表示装置、および、車両,マクセル株式会社,"B60K35/40,B60K35/23,G02B27/01,B60K35/235",特開2025-097226,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-097226/11/ja
特開2025-097088,特願2023-213161,2023/12/18,2025/06/30,車両制動方法及び車両制動装置,日産自動車株式会社,"B60T8/1755@Z,B60T8/172@Z,B60T8/26@H",特開2025-097088,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-097088/11/ja
特開2025-097087,特願2023-213160,2023/12/18,2025/06/30,車両制動方法及び車両制動装置,日産自動車株式会社,"B60T8/1755@Z,B60T8/26@H",特開2025-097087,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-097087/11/ja
特開2025-094589,特願2023-210240,2023/12/13,2025/06/25,鏡像判定装置、鏡像判定方法、及び鏡像判定プログラム,トヨタテクニカルディベロップメント株式会社,"G06T7/00,650@B,G06T7/60,180@D",特開2025-094589,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-094589/11/ja
特開2025-094537,特願2023-210154,2023/12/13,2025/06/25,風呂給湯装置,株式会社ノーリツ,"F24H15/196,301@G,F24H15/196,301@X,F24H15/219,F24H15/246,F24H15/414,F24H15/395,F24H15/281,F24H15/265",特開2025-094537,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-094537/11/ja
特開2025-094536,特願2023-210153,2023/12/13,2025/06/25,風呂給湯装置,株式会社ノーリツ,"F24H15/196,301@B,F24H15/196,301@G,F24H15/219,F24H15/246,F24H15/265,F24H15/281,F24H15/395,F24H15/414,F24H15/36",特開2025-094536,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-094536/11/ja
特開2025-094333,特願2023-209790,2023/12/13,2025/06/25,車両用表示装置,日本精機株式会社,"B60K35/234,B60K35/235,G02B27/01,B60K35/40",特開2025-094333,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-094333/11/ja
特開2025-094165,特願2025-047567,2025/03/21,2025/06/24,運転制御システム,株式会社ＳＵＢＡＲＵ,"G08G1/09@F,G08G1/16@A",特開2025-094165,,,,,審査中,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-094165/11/ja
特開2025-094150,特願2025-046434,2025/03/21,2025/06/24,中継装置、車載通信システム、車載通信プログラムおよび車載通信方法,"株式会社オートネットワーク技術研究所,住友電気工業株式会社,住友電装株式会社","H04L12/46,100@C,H04L12/28,100@A",特開2025-094150,,,,,審査中,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-094150/11/ja
特開2025-094142,特願2025-046128,2025/03/20,2025/06/24,走行支援システム,株式会社半導体エネルギー研究所,"G08G1/16@D,G08G1/09@D,G06T3/4053,G06T7/10",特開2025-094142,,,,,審査中,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-094142/11/ja
特開2025-094094,特願2025-043860,2025/03/18,2025/06/24,大規模モデルに基づく地図構築方法、車両制御方法、装置、電子機器、記憶媒体及びコンピュータプログラム,ベイジン　バイドゥ　ネットコム　サイエンス　テクノロジー　カンパニー　リミテッド,"G06T7/00,650@Z,G06T7/60,200@J,G06T7/00,350@C,G06V10/82,G08G1/00@A",特開2025-094094,,,,,審査中,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-094094/11/ja
特開2025-094026,特願2025-041063,2025/03/14,2025/06/24,車両,ＣＡＳＥ特許株式会社,"B60W50/08,B60W40/08,B60W60/00,B60W50/06",特開2025-094026,,,,,審査中,特許査定,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-094026/11/ja
特開2025-093928,特願2025-023892,2025/02/18,2025/06/24,車両ナビゲーション用のシステムおよび方法,モービルアイ　ビジョン　テクノロジーズ　リミテッド,"G08G1/16@C,G06T7/00,350@C,G06V20/56,G06V10/82,G08G1/00@D,G06T7/00,610@Z",特開2025-093928,,,,,審査中,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-093928/11/ja
特開2025-092565,特願2025-052046,2025/03/26,2025/06/19,モード調整システム及びモード調整方法,テイ・エス　テック株式会社,"B60J3/02@D,B60N2/04,E06B9/68,B60J3/02@Z",特開2025-092565,,,,,審査中,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-092565/11/ja
特開2025-092563,特願2025-051961,2025/03/26,2025/06/19,優先度設定装置,トヨタ自動車株式会社,"G08G1/00@A,B60W40/02,B60W60/00,B60W50/00",特開2025-092563,,,,,審査中,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-092563/11/ja
特開2025-092258,特願2023-208024,2023/12/08,2025/06/19,自動車,トヨタ自動車株式会社,"B60W30/02,B60W60/00",特開2025-092258,,,,,審査中,審査請求,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-092258/11/ja
特開2025-092047,特願2023-207683,2023/12/08,2025/06/19,車両,トヨタ自動車株式会社,"B60T8/17@C,B60T8/92,B60W10/00,120,B60W10/08,B60W10/18,B60W60/00,B60L7/24@D,B60L15/20@J",特開2025-092047,,,,,審査中,審査請求,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-092047/11/ja
特開2025-092017,特願2023-207634,2023/12/08,2025/06/19,移動体の自動運転支援装置、自動運転支援システム、監視装置、及び自動運転支援方法,三菱電機株式会社,"G05D1/622,G05D1/43,G05D1/227,G08G1/16@A,G08G1/09@V,B65G1/00,501@C,G05D1/222,G05D1/224,G05D1/225,G05D1/229,G05D1/24,G05D1/242,G05D1/60,G05D1/633,G05D1/639,G05D1/648,G05D1/693,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D107:40,G05D109:00,G05D109:10,G05D111:00,G05D111:63",特開2025-092017,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-092017/11/ja
特開2025-091892,特願2023-207421,2023/12/08,2025/06/19,通信ネットワークシステム、妨害装置、管理装置、車両、プログラム、通信方法,トヨタ自動車株式会社,"H04L12/28,200@Z,H04L12/28,100@A",特開2025-091892,,,,,審査中,審査請求,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-091892/11/ja
特開2025-091649,特願2023-207029,2023/12/07,2025/06/19,車両用操舵装置,"パナソニックＩＰマネジメント株式会社,パナソニックオートモーティブシステムズ株式会社","B62D1/04,B62D1/16",特開2025-091649,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-091649/11/ja
特開2025-091424,特願2025-034719,2025/03/05,2025/06/18,制御方法、自動運転車両、及び制御プログラム,パナソニック　インテレクチュアル　プロパティ　コーポレーション　オブ　アメリカ,"G08G1/09@V,G08G1/123@A,G06Q10/083",特開2025-091424,,,,,審査中,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-091424/11/ja
特開2025-091107,特願2023-206154,2023/12/06,2025/06/18,自動運転装置,スズキ株式会社,"B60R1/28,200,H02S10/40,H02S50/00,G08G1/16@C",特開2025-091107,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-091107/11/ja
特開2025-090785,特願2025-041064,2025/03/14,2025/06/17,車両,ＣＡＳＥ特許株式会社,"B60W50/08,B60W40/08,B60W50/06,B60W60/00",特開2025-090785,,特許7712725,,,特許 有効,登録公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-090785/11/ja
特開2025-090781,特願2025-040819,2025/03/14,2025/06/17,情報予測方法、自動運転モデルのトレーニング方法及び装置,ベイジン　バイドゥ　ネットコム　サイエンス　テクノロジー　カンパニー　リミテッド,"G06T7/00,350@C,G06T7/00,650@B,G06V10/82,G06V20/59",特開2025-090781,,,,,審査中,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-090781/11/ja
特開2025-090421,特願2023-205628,2023/12/05,2025/06/17,車両,トヨタ自動車株式会社,"B60W30/20,B60W60/00",特開2025-090421,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-090421/11/ja
特開2025-090204,特願2023-205295,2023/12/05,2025/06/17,ドライブレコーダシステム,ヴァレオ・シャルター・ウント・ゼンゾーレン・ゲーエムベーハー,G08G1/00@D,特開2025-090204,,,,,審査中,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-090204/11/ja
特許7693141,特願2024-572686,2024/02/26,2025/06/16,走行制御システム、コース走行車両、走行制御方法、および走行制御プログラム,三菱電機株式会社,"G08G1/00@X,G08G1/16@C,G01C21/26@C",,,特許7693141,,,特許 有効,登録公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7693141/15/ja
